id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,addr_state
15389420,15000,13850.10064,15000,13850.10064,0.1399,348.95,322.199508,41913.62,38700.52369,1.083024621,3,0,60,14,1,2
16130931,20000,18247.60034,20000,18247.60034,0.1333,677.07,617.745138,21119.05,19268.59919,1.096034527,5,1,36,15,1,4
19137119,27000,24057.80951,27000,24057.80951,0.2899,586.92,522.9633169,4075.47,3631.36596,1.122296691,6,1,60,9,1,1
19646726,28000,24988.03945,28000,24988.03945,0.2899,863.54,770.6489854,9472.03,8453.123548,1.120536089,2,1,36,4,0,3
22403153,11200,9995.215782,11200,9995.215782,0.2899,373.56,333.3761435,1113.03,993.3013412,1.120536089,2,0,36,11,0,3
25276117,28000,24805.20155,1000,885.9000554,0.2899,587.92,520.8383606,7040.28,6236.984442,1.128795505,1,1,60,7,1,4
31207716,35000,31235.04932,35000,31235.04932,0.2899,790.82,705.7514772,8674.34,7741.241077,1.120536089,2,1,60,12,1,1
31888135,4950,4677.304687,4950,4677.304687,0.1999,183.94,173.8067524,178.44,168.6097472,1.058301806,11,1,36,24,1,2
34462110,14400,12850.99172,14400,12850.99172,0.2899,480.98,429.240972,5280.87,4712.806711,1.120536089,2,1,36,11,1,3
34883768,10300,9124.77057,10300,9124.77057,0.2899,320.35,283.7980827,3839.91,3401.776482,1.128795505,1,1,36,4,0,4
35683282,22400,19844.16124,22400,19844.16124,0.2899,686.44,608.117234,8221.13,7283.099522,1.128795505,1,1,36,2,1,0
36169417,24000,21261.60133,24000,21261.60133,0.1559,578.42,512.42231,6899.47,6112.240855,1.128795505,1,1,60,16,1,0
36201871,21000,18603.90116,21000,18603.90116,0.2899,639.15,566.2230204,7655.73,6782.211631,1.128795505,1,1,36,1,1,4
36241014,20000,17718.00111,20000,17718.00111,0.2899,411.98,364.9731048,4934.13,4371.14604,1.128795505,1,1,60,6,1,2
36561402,9600,8775.743527,9600,8775.743527,0.2899,309.72,283.1274255,1852.99,1693.892187,1.093924403,7,1,36,8,1,2
36763239,15000,13288.50083,15000,13288.50083,0.1786,379.76,336.429405,4527.35,4010.779616,1.128795505,1,1,60,20,1,0
36802496,7800,6910.020432,7800,6910.020432,0.2899,260.53,230.8035414,3120.99,2764.885214,1.128795505,1,1,36,11,1,2
36806601,20000,18088.30666,20000,18088.30666,0.2899,640.57,579.3413299,7665.75,6933.02184,1.105686694,0,1,36,7,1,2
36950419,14000,12402.60078,14000,12402.60078,0.1599,340.38,301.5426608,4132.09,3660.61876,1.128795505,1,1,60,17,1,1
37011266,28000,24805.20155,28000,24805.20155,0.1559,978.74,867.0658202,8760.16,7760.626229,1.128795505,1,0,36,16,1,4
37051229,30000,26577.00166,30000,26577.00166,0.2899,667.19,591.0636579,8366.84,7412.184019,1.128795505,1,1,60,10,1,1
37068509,7000,6201.300388,7000,6201.300388,0.2899,242.63,214.9459304,2905.73,2574.186368,1.128795505,1,1,36,15,1,3
37107114,25000,22147.50138,25000,22147.50138,0.2899,766.12,678.7057504,9175.41,8128.496227,1.128795505,1,1,36,2,1,2
37257668,12000,10630.80066,12000,10630.80066,0.2899,377.09,334.0640519,4514.16,3999.094594,1.128795505,1,1,36,5,1,2
37267742,12000,10630.80066,12000,10630.80066,0.2899,377.09,334.0640519,4545.79,4027.115613,1.128795505,1,0,36,5,0,2
37329129,8000,7087.200443,1000,885.9000554,0.2899,265.68,235.3659267,2911.82,2579.581499,1.128795505,1,0,36,10,0,2
37600541,8000,7235.322665,8000,7235.322665,0.2899,251.4,227.3700147,3009.52,2721.856033,1.105686694,0,1,36,5,1,2
37601431,15000,13288.50083,15000,13288.50083,0.1366,346.39,306.8669202,4133.91,3662.231098,1.128795505,1,1,60,13,1,2
37612109,35000,31006.50194,11850,10497.91566,0.1714,423.32,375.0192114,5057.27,4480.235773,1.128795505,1,1,36,19,1,2
37612196,15000,13288.50083,15000,13288.50083,0.2899,314.96,279.0230814,3809.57,3374.898274,1.128795505,1,1,60,7,1,3
37620643,24000,21261.60133,1000,885.9000554,0.2899,735.47,651.5529137,8808.33,7803.300035,1.128795505,1,1,36,2,1,1
37621437,32000,28348.80177,32000,28348.80177,0.2899,1165.57,1032.578528,13920.92,12332.5438,1.128795505,1,1,36,21,1,1
37621803,4700,4163.73026,4700,4163.73026,0.2899,150.54,133.3633943,41913.62,37131.27828,1.128795505,1,1,36,7,0,2
37640409,11200,9922.08062,11200,9922.08062,0.1999,296.67,262.8199694,1174.24,1040.259281,1.128795505,1,0,60,23,0,1
37641179,35000,31006.50194,28000,24805.20155,0.2899,870.85,771.4860632,10426.9,9237.191287,1.128795505,1,1,36,4,1,1
37641650,35000,31006.50194,35000,31006.50194,0.2899,1088.56,964.3553643,13048.16,11559.36567,1.128795505,1,1,36,5,1,2
37651425,5150,4562.385285,5150,4562.385285,0.1649,182.31,161.5084391,2202.11,1950.849371,1.128795505,1,1,36,18,1,2
37652106,25000,22147.50138,25000,22147.50138,0.1559,1372.97,1216.314199,10443.25,9251.675753,1.128795505,1,1,36,16,1,2
37671458,35000,31006.50194,35000,31006.50194,0.2899,1088.56,964.3553643,13033.59,11546.4581,1.128795505,1,1,36,4,1,4
37671833,7500,6644.250415,7500,6644.250415,0.2899,252.67,223.840367,3018.51,2674.098176,1.128795505,1,1,36,12,0,2
37672125,15000,13288.50083,15000,13288.50083,0.2899,456.54,404.4488113,5468.43,4844.48244,1.128795505,1,1,60,1,0,1
37680706,35000,31006.50194,35000,31006.50194,0.2899,1099.85,974.3571759,13183.54,11679.29882,1.128795505,1,1,36,5,1,1
37680875,15000,13288.50083,15000,13288.50083,0.2899,308.98,273.7253991,3693.31,3271.903533,1.128795505,1,1,60,6,1,0
37691298,25000,22147.50138,1000,885.9000554,0.2899,514.97,456.2119515,6155.56,5453.210945,1.128795505,1,1,60,6,1,3
37691377,23600,20907.24131,1000,885.9000554,0.2899,507.14,449.2753541,6058.17,5366.933138,1.128795505,1,1,60,8,1,3
37691997,8000,7087.200443,8000,7087.200443,0.2899,245.16,217.1872576,8164.08,7232.558924,1.128795505,1,1,36,2,0,4
37692393,10000,8859.000554,10000,8859.000554,0.2899,219.63,194.5702292,2622.85,2323.58296,1.128795505,1,1,60,10,0,3
37700602,26850,23786.41649,26850,23786.41649,0.2583,801.21,709.7919834,32358.25,28666.17547,1.128795505,1,1,60,35,1,1
37730598,9600,8504.640532,9600,8504.640532,0.2899,1372.97,1216.314199,3874.11,3432.074264,1.128795505,1,1,36,12,0,1
37731126,12000,10630.80066,12000,10630.80066,0.2899,289.21,256.211155,13336.65,11814.93897,1.128795505,1,1,60,16,1,1
37750229,32000,28941.29066,32000,28941.29066,0.1431,749.74,678.0763518,9801.44,8864.572622,1.105686694,0,1,60,14,1,4
37750958,32000,28348.80177,32000,28348.80177,0.2899,995.26,881.7008891,11909.83,10550.91906,1.128795505,1,1,60,4,1,3
37751648,24000,21261.60133,24000,21261.60133,0.2899,735.47,651.5529137,8808.33,7803.300035,1.128795505,1,1,36,2,1,1
37752011,25000,22147.50138,25000,22147.50138,0.2899,830.24,735.509662,9929.57,8796.606613,1.128795505,1,1,36,10,1,4
37811574,18000,15946.201,18000,15946.201,0.2899,370.78,328.4740225,4432.02,3926.326763,1.128795505,1,1,60,6,1,2
37811673,35000,31006.50194,35000,31006.50194,0.1599,1230.33,1089.949415,13041.12,11553.12893,1.128795505,1,0,36,17,1,1
37821356,11550,10232.14564,11550,10232.14564,0.1999,305.95,271.0411219,3645.75,3229.770127,1.128795505,1,1,60,23,0,2
37841440,25000,22147.50138,25000,22147.50138,0.2899,812.45,719.7495,8922.38,7904.336936,1.128795505,1,1,36,8,1,2
37866237,28000,24805.20155,28000,24805.20155,0.1431,961.2,851.5271332,11489.88,10178.88533,1.128795505,1,1,36,14,1,2
37866544,20000,17718.00111,20000,17718.00111,0.2899,448.85,397.6362399,5372.43,4759.436034,1.128795505,1,1,60,11,1,1
37887123,8000,7087.200443,8000,7087.200443,0.2899,267.21,236.7213538,1592.25,1410.574363,1.128795505,1,0,36,15,0,4
37887364,15000,13288.50083,15000,13288.50083,0.1924,391.1,346.4755117,4661.13,4129.295325,1.128795505,1,1,60,22,0,4
37907332,21300,18869.67118,21300,18869.67118,0.2899,523.54,463.804115,6243.45,5531.072701,1.128795505,1,1,60,18,1,4
37917304,6000,5315.400332,1000,885.9000554,0.2899,185.24,164.1041263,2218.22,1965.121221,1.128795505,1,1,36,3,1,4
37927296,10000,8859.000554,10000,8859.000554,0.2199,276.14,244.6324413,41913.62,37131.27828,1.128795505,1,1,60,25,1,3
37927549,35000,31006.50194,35000,31006.50194,0.1649,1238.98,1097.612451,6130.77,5431.249482,1.128795505,1,0,36,18,1,4
37938334,18000,15946.201,18000,15946.201,0.1431,1372.97,1216.314199,5087.88,4507.353174,1.128795505,1,1,60,14,1,3
37948249,12000,10630.80066,12000,10630.80066,0.1499,415.93,368.47241,4971.17,4403.959778,1.128795505,1,1,36,15,0,3
37948610,4800,4341.193599,4800,4341.193599,0.1366,163.27,147.6638914,1951.95,1765.373509,1.105686694,0,1,36,13,0,2
37958255,10000,8859.000554,10000,8859.000554,0.2899,332.1,294.2074084,4009.7,3552.193452,1.128795505,1,1,60,10,1,1
37978181,12000,10630.80066,12000,10630.80066,0.1431,1372.97,1216.314199,7548.35,6687.083683,1.128795505,1,1,36,14,0,2
37998364,8400,7441.560465,8400,7441.560465,0.2899,288.36,255.45814,3446.96,3053.662055,1.128795505,1,1,36,14,0,1
37998603,24000,21384.71956,24000,21384.71956,0.2899,509.82,454.2649053,3555.42,3167.985818,1.122296691,6,1,60,8,0,4
38018251,11200,9922.08062,11200,9922.08062,0.2899,240.68,213.2184253,2875.11,2547.060108,1.128795505,1,1,60,8,1,4
38028516,6000,5315.400332,6000,5315.400332,0.1559,209.73,185.7998186,6281.35,5564.648313,1.128795505,1,1,36,16,1,1
38058468,8000,7087.200443,1000,885.9000554,0.1499,277.29,245.6512264,3314.16,2936.014528,1.128795505,1,1,36,15,0,3
38078645,35000,31006.50194,3875,3432.862715,0.1499,134.31,118.9852364,3687.54,3266.79189,1.128795505,1,1,36,15,0,2
38098252,6000,5315.400332,6000,5315.400332,0.1499,207.97,184.2406345,197.98,175.390493,1.128795505,1,0,36,15,1,3
38108327,1200,1063.080066,1200,1063.080066,0.1366,40.82,36.16244026,488.02,432.336945,1.128795505,1,0,36,13,1,1
38141178,4750,4208.025263,4750,4208.025263,0.1714,169.69,150.3283804,2027.23,1795.923169,1.128795505,1,1,60,19,0,2
38141958,10000,9044.153331,10000,9044.153331,0.1559,349.55,316.1383797,10961.22,9913.495437,1.105686694,0,1,36,16,1,1
38151414,26800,23742.12148,26800,23742.12148,0.1431,627.91,556.2655038,41913.62,37131.27828,1.128795505,1,1,60,14,1,1
38151481,25000,22147.50138,25000,22147.50138,0.2899,760.89,674.0724931,41913.62,37131.27828,1.128795505,1,1,36,1,1,4
38151638,14475,12823.4033,14475,12823.4033,0.2299,1372.97,1216.314199,4858.78,4304.393471,1.128795505,1,1,60,26,1,2
38162231,12000,10630.80066,1000,885.9000554,0.1854,308.26,273.0875511,3686.76,3266.100888,1.128795505,1,1,60,21,1,2
38162496,11700,10365.03065,11700,10365.03065,0.2199,446.77,395.7935677,5346.95,4736.863301,1.128795505,1,1,36,25,1,1
38171495,11325,10032.81813,11325,10032.81813,0.1786,1372.97,1216.314199,3418.17,3028.156992,1.128795505,1,1,60,20,1,2
38171566,6250,5536.875346,6250,5536.875346,0.2899,203.12,179.9440192,41913.62,37131.27828,1.128795505,1,1,36,8,0,1
38171736,28000,24805.20155,28000,24805.20155,0.2599,838.17,742.5348494,9977.18,8838.784314,1.128795505,1,1,60,34,1,2
38171949,20000,17718.00111,20000,17718.00111,0.1366,461.85,409.1529406,5511.84,4882.939361,1.128795505,1,1,60,13,1,3
38171990,35000,31006.50194,35000,31006.50194,0.2557,1039.03,920.4767345,35522.06,31468.99492,1.128795505,1,1,60,30,1,1
38172140,9900,8770.410548,9900,8770.410548,0.2899,313.3,277.5524873,3750.06,3322.178362,1.128795505,1,1,36,6,1,1
38181359,24000,21261.60133,24000,21261.60133,0.1431,562.31,498.1504601,6709.56,5943.999576,1.128795505,1,1,60,14,1,2
38182010,20000,17718.00111,20000,17718.00111,0.1786,721.65,639.309775,7918.31,7014.831267,1.128795505,1,1,36,20,1,1
38191359,4750,4208.025263,4750,4208.025263,0.1599,166.98,147.9275912,4974.84,4407.211031,1.128795505,1,0,36,17,1,4
38201230,15000,13288.50083,15000,13288.50083,0.2899,505.34,447.680734,1999.71,1771.5432,1.128795505,1,0,36,15,1,2
38211297,20625,18271.68864,20625,18271.68864,0.2899,688.9,610.2965481,8238.41,7298.407875,1.128795505,1,1,36,11,1,4
38211876,32000,28348.80177,32000,28348.80177,0.1786,810.16,717.7207889,9658.42,8556.394813,1.128795505,1,1,60,20,1,4
38212467,35000,31006.50194,20000,17718.00111,0.1366,680.26,602.6423717,8132.76,7204.812534,1.128795505,1,1,36,13,1,2
38212617,10800,9567.720598,10800,9567.720598,0.2099,292.12,258.7891242,3480.25,3083.153668,1.128795505,1,1,60,24,1,1
38212702,20000,17718.00111,20000,17718.00111,0.2899,444.79,394.0394856,5324.16,4716.673639,1.128795505,1,1,60,10,1,3
38221902,5000,4429.500277,5000,4429.500277,0.2899,153.23,135.7464655,1835.15,1625.759487,1.128795505,1,1,36,2,1,2
38232469,6225,5514.727845,6225,5514.727845,0.1366,211.73,187.5716187,2545.7,2255.235771,1.128795505,1,1,36,13,1,2
38242030,4000,3543.600221,4000,3543.600221,0.1431,137.32,121.6517956,1641.48,1454.187223,1.128795505,1,1,36,14,0,2
38242401,19500,17275.05108,19500,17275.05108,0.2899,624.56,553.2977386,7474.16,6621.358758,1.128795505,1,1,36,7,1,4
38261283,7000,6201.300388,7000,6201.300388,0.2899,217.72,192.8781601,2389.09,2116.494963,1.128795505,1,1,36,4,0,2
38261765,18000,15946.201,18000,15946.201,0.2899,555.71,492.3035198,6654.54,5895.257354,1.128795505,1,1,36,3,0,1
38272059,5000,4429.500277,5000,4429.500277,0.1431,171.65,152.0647445,2051.85,1817.734029,1.128795505,1,1,36,14,1,0
38272154,14000,12402.60078,14000,12402.60078,0.2899,443.05,392.4980195,5303.11,4698.025443,1.128795505,1,1,36,6,1,3
38281530,10000,8859.000554,10000,8859.000554,0.1499,346.61,307.0618182,4142.66,3669.982723,1.128795505,1,1,36,15,1,2
38282489,6000,5315.400332,6000,5315.400332,0.2899,188.55,167.0364554,2257.14,1999.600451,1.128795505,1,1,36,5,0,1
38291244,20000,17718.00111,20000,17718.00111,0.2899,668.02,591.798955,14088.74,12481.21555,1.128795505,1,1,36,11,1,2
38301173,24000,21261.60133,1000,885.9000554,0.1649,589.91,522.6013017,7034.95,6232.262595,1.128795505,1,1,60,18,1,4
38311414,15000,13288.50083,15000,13288.50083,0.1366,346.39,306.8669202,4145.3,3672.3215,1.128795505,1,1,60,13,0,2
38311693,2500,2214.750138,2500,2214.750138,0.2899,80.08,70.94287643,718.08,636.1471118,1.128795505,1,0,36,7,1,1
38312082,10000,8859.000554,10000,8859.000554,0.2899,332.1,294.2074084,41913.62,37131.27828,1.128795505,1,1,36,10,1,3
38312255,12675,11228.7832,12675,11228.7832,0.2899,278.38,246.6168574,3324.45,2945.130439,1.128795505,1,1,60,9,1,3
38321857,13000,11516.70072,13000,11516.70072,0.2899,1372.97,1216.314199,5123.32,4538.749472,1.128795505,1,1,36,9,1,4
38341427,25000,22147.50138,25000,22147.50138,0.2899,760.89,674.0724931,21153.04,18739.47931,1.128795505,1,1,36,1,1,2
38342108,20000,17718.00111,20000,17718.00111,0.1999,529.77,469.3232723,20133.27,17836.06501,1.128795505,1,1,60,23,1,2
38342391,9500,8416.050526,9500,8416.050526,0.2899,300.65,266.3458516,3598.65,3188.044234,1.128795505,1,0,36,6,0,1
38342504,35000,31006.50194,1000,885.9000554,0.2199,966.47,856.1958265,12478.59,11054.78357,1.128795505,1,1,60,25,1,4
38362671,14525,12867.6983,14525,12867.6983,0.2899,1372.97,1216.314199,3857.01,3416.925373,1.128795505,1,1,60,10,0,4
38382064,35000,31006.50194,12000,10630.80066,0.1714,299.14,265.0081426,3566.83,3159.854894,1.128795505,1,1,60,19,0,1
38413636,12000,10630.80066,12000,10630.80066,0.2899,377.09,334.0640519,4514.16,3999.094594,1.128795505,1,1,36,5,0,3
38413974,9000,7973.100498,9000,7973.100498,0.1559,314.6,278.7041574,3490.96,3092.641657,1.128795505,1,1,36,16,1,1
38414180,35000,31006.50194,26050,23077.69644,0.1999,690.03,611.2976152,8251.43,7309.942294,1.128795505,1,1,60,23,1,4
38414664,6000,5315.400332,6000,5315.400332,0.2899,202.14,179.0758372,41913.62,37131.27828,1.128795505,1,1,36,12,1,3
38414904,10000,8859.000554,10000,8859.000554,0.2899,320.29,283.7449287,3838.21,3400.270452,1.128795505,1,1,36,7,0,2
38415266,11200,9922.08062,11200,9922.08062,0.1559,391.5,346.8298717,4296.8,3806.535358,1.128795505,1,1,36,20,1,1
38415532,18000,15946.201,18000,15946.201,0.2899,565.64,501.1005073,6779.49,6005.950566,1.128795505,1,1,36,5,1,3
38416309,8500,7530.150471,8500,7530.150471,0.1431,291.8,258.5056362,3203.04,2837.573313,1.128795505,1,1,60,14,1,4
38417018,20000,18088.30666,20000,18088.30666,0.1559,482.02,435.9462789,5258.91,4756.238839,1.105686694,0,1,60,16,1,4
38417249,8000,7087.200443,8000,7087.200443,0.2899,1372.97,1216.314199,2919.2,2586.119442,1.128795505,1,1,36,1,0,4
38417514,15000,13288.50083,15000,13288.50083,0.1854,385.33,341.3638683,4593.06,4068.992108,1.128795505,1,0,60,21,0,3
38417815,21600,19135.4412,21600,19135.4412,0.1559,520.58,461.1818508,3606.64,3195.122576,1.128795505,1,0,60,16,1,3
38419045,18000,15946.201,18000,15946.201,0.2899,551.61,488.6713295,6054.73,5363.885642,1.128795505,1,1,36,2,0,2
38425210,35000,31006.50194,35000,31006.50194,0.2899,1120.99,993.0851031,13433.43,11900.67638,1.128795505,1,1,36,7,1,1
38426634,20000,17718.00111,20000,17718.00111,0.2899,649.96,575.7996,7137.9,6323.466005,1.128795505,1,1,36,8,1,0
38426735,12000,10630.80066,12000,10630.80066,0.1854,308.26,273.0875511,3366.14,2982.063612,1.128795505,1,1,60,21,1,2
38426884,4000,3543.600221,4000,3543.600221,0.1854,145.7,129.0756381,41913.62,37131.27828,1.128795505,1,0,36,21,0,2
38427284,3500,3100.650194,3500,3100.650194,0.2399,137.3,121.6340776,1534.17,1359.121288,1.128795505,1,0,36,27,1,3
38427410,17425,15436.80846,17425,15436.80846,0.1431,408.26,361.6775566,4871.41,4315.582389,1.128795505,1,1,60,14,1,4
38427713,14000,12402.60078,14000,12402.60078,0.2899,293.96,260.4191803,3509.07,3108.685307,1.128795505,1,1,60,7,1,3
38428098,35000,31006.50194,35000,31006.50194,0.1854,899.09,796.5038808,10716.98,9494.173175,1.128795505,1,1,60,21,1,3
38428632,8000,7087.200443,8000,7087.200443,0.1499,277.29,245.6512264,8569.74,7591.933141,1.128795505,1,1,60,15,1,1
38428667,3500,3100.650194,3500,3100.650194,0.2899,116.24,102.9770224,1276.31,1130.6831,1.128795505,1,1,36,10,1,4
38429476,4575,4052.992753,1000,885.9000554,0.1649,161.96,143.480373,5090.13,4509.346449,1.128795505,1,1,36,18,1,2
38429497,1500,1328.850083,1500,1328.850083,0.2899,50.54,44.7733888,604.32,535.3671215,1.128795505,1,1,36,12,0,2
38429690,8275,7484.036881,8275,7484.036881,0.1559,289.26,261.6111793,3463.95,3132.849493,1.105686694,0,1,36,16,1,2
38434284,4250,3765.075235,4250,3765.075235,0.1366,144.56,128.065712,1731.49,1533.927087,1.128795505,1,1,36,13,0,4
38434338,1000,885.9000554,1000,885.9000554,0.1599,35.16,31.14824595,420.14,372.2020493,1.128795505,1,1,36,17,0,2
38434390,6000,5315.400332,6000,5315.400332,0.2899,199.26,176.524445,41913.62,37131.27828,1.128795505,1,1,36,10,0,2
38434416,10000,8859.000554,10000,8859.000554,0.1559,349.55,309.6663644,4177.28,3700.652583,1.128795505,1,0,36,16,0,1
38434647,5000,4429.500277,5000,4429.500277,0.2899,160.15,141.8768939,1916.53,1697.854033,1.128795505,1,1,36,7,0,4
38435127,15000,13288.50083,15000,13288.50083,0.2899,329.44,291.8509142,3943.75,3493.768343,1.128795505,1,1,60,9,0,3
38435159,35000,31006.50194,35000,31006.50194,0.1924,1372.97,1216.314199,15409.23,13651.03771,1.128795505,1,1,36,22,1,4
38435222,35000,31006.50194,35000,31006.50194,0.1559,1223.43,1083.836705,6321.77,5600.456393,1.128795505,1,0,36,16,1,2
38435515,17925,15879.75849,17925,15879.75849,0.2899,1372.97,1216.314199,7172.3,6353.940967,1.128795505,1,1,36,11,1,2
38435631,21500,19046.85119,21500,19046.85119,0.1366,496.49,439.8405185,5428.76,4809.338785,1.128795505,1,1,60,13,1,3
38436092,5000,4429.500277,5000,4429.500277,0.2899,154.37,136.7563915,1850.5,1639.358052,1.128795505,1,1,36,5,0,3
38436311,21200,18781.08117,21200,18781.08117,0.1431,727.77,644.7314833,8716.39,7721.850384,1.128795505,1,1,36,14,1,2
38436314,16800,14883.12093,16800,14883.12093,0.2899,368.97,326.8705434,4400.95,3898.801849,1.128795505,1,1,60,9,1,1
38436474,12000,10630.80066,12000,10630.80066,0.2899,272.98,241.8329971,3267.1,2894.324071,1.128795505,1,1,60,12,1,1
38436492,10000,8859.000554,10000,8859.000554,0.1366,340.13,301.3211858,2713.45,2403.845505,1.128795505,1,0,36,13,1,2
38436495,10000,8859.000554,10000,8859.000554,0.2899,314.25,278.3940924,3766.45,3336.698264,1.128795505,1,1,36,5,1,4
38437174,13000,11516.70072,1000,885.9000554,0.2899,408.52,361.9078906,13896.5,12310.91012,1.128795505,1,1,36,5,0,2
38437586,34500,30563.55191,34500,30563.55191,0.1366,1372.97,1216.314199,9507.92,8423.066854,1.128795505,1,1,60,13,1,2
38439103,35000,31006.50194,35000,31006.50194,0.1366,1190.45,1054.619721,36584.95,32410.60923,1.128795505,1,1,36,13,0,2
38439595,15000,13288.50083,15000,13288.50083,0.2899,322.34,285.5610238,3528.26,3125.685729,1.128795505,1,1,60,8,1,1
38439668,11200,9922.08062,11200,9922.08062,0.1599,272.31,241.2394441,41913.62,37131.27828,1.128795505,1,1,60,17,1,1
38439758,3250,2879.17518,3250,2879.17518,0.1786,1372.97,1216.314199,1286.75,1139.931896,1.128795505,1,1,36,20,1,1
38439893,17500,15503.25097,17500,15503.25097,0.2199,1372.97,1216.314199,5777.5,5118.28757,1.128795505,1,1,60,25,1,3
38444939,11850,10497.91566,11850,10497.91566,0.2899,399.22,353.6690201,4782.09,4236.453796,1.128795505,1,1,60,12,1,3
38445485,35000,31006.50194,5000,4429.500277,0.2399,196.14,173.7604369,777.9,689.1416531,1.128795505,1,0,36,27,1,3
38445586,19475,17252.90358,19475,17252.90358,0.1786,702.71,622.5308279,8413.2,7453.254346,1.128795505,1,1,36,20,1,3
38446091,34875,30895.76443,34875,30895.76443,0.1854,1372.97,1216.314199,37756.41,33448.40571,1.128795505,1,1,60,21,1,4
38446337,15000,13288.50083,15000,13288.50083,0.1559,361.52,320.270588,4325.25,3831.739214,1.128795505,1,1,60,16,1,3
38447759,12000,10630.80066,12000,10630.80066,0.1599,1372.97,1216.314199,3490.46,3092.198707,1.128795505,1,1,60,17,0,2
38448056,20000,18088.30666,20000,18088.30666,0.2899,622.04,562.5825138,7456.16,6743.46543,1.105686694,0,1,36,4,1,4
38448057,14000,12402.60078,14000,12402.60078,0.1366,323.3,286.4114879,3912.12,3465.747325,1.128795505,1,1,60,13,1,4
38448211,8000,7087.200443,1000,885.9000554,0.2899,253.18,224.292176,3034.31,2688.095397,1.128795505,1,1,36,6,0,2
38448348,10000,8859.000554,10000,8859.000554,0.2899,334.01,295.8994775,41913.62,37131.27828,1.128795505,1,1,36,11,0,3
38449284,9600,8504.640532,9600,8504.640532,0.2899,307.48,272.396549,3679.64,3259.79328,1.128795505,1,1,36,7,1,2
38449346,25150,22280.38639,25150,22280.38639,0.2899,835.22,739.9214442,41913.62,37131.27828,1.128795505,1,1,36,10,1,1
38449503,35000,31006.50194,5000,4429.500277,0.2899,168.45,149.2298643,2014.18,1784.362174,1.128795505,1,1,36,12,0,4
38450494,12000,10630.80066,12000,10630.80066,0.1366,277.11,245.4917643,3316.21,2937.830623,1.128795505,1,1,60,13,1,2
38454679,8000,7087.200443,8000,7087.200443,0.2899,269.52,238.7677829,8692.4,7700.597641,1.128795505,1,1,36,12,0,1
38455220,28000,24805.20155,28000,24805.20155,0.2899,864.44,765.8074439,11318.47,10027.0332,1.128795505,1,1,36,3,1,2
38455361,11000,9744.900609,11000,9744.900609,0.2899,226.59,200.7360935,2713.78,2404.137852,1.128795505,1,0,60,6,1,4
38455422,20000,17718.00111,20000,17718.00111,0.1786,506.35,448.575493,5530.16,4899.16905,1.128795505,1,1,60,20,1,2
